project,sha,test,line,message
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test136_1,948,'6' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_1,1021,'5' != '8'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_2,1078,'7' != '10'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_3,1141,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_4,1198,'7' != '1'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test138_1,1292,'2' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test140_1,1426,'2' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test143_1,1552,'8' != '0'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test144_1,1636,'7' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test149_1,1746,'7' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_1,56,'5' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_2,118,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_3,173,'7' != '36'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test090_1,286,'7' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_1,358,'6' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_2,438,'94' != '56'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_3,520,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_4,595,'38' != '12'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test097_1,663,'1' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test120_1,753,'5' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test121_1,858,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test136_1,948,'6' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_1,1021,'5' != '8'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_2,1078,'7' != '10'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_3,1141,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_4,1198,'7' != '1'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test138_1,1292,'2' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test140_1,1426,'2' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test143_1,1552,'8' != '0'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test144_1,1636,'7' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test149_1,1746,'7' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_1,56,'5' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_2,118,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_3,173,'7' != '36'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test090_1,286,'7' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_1,358,'6' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_2,438,'94' != '56'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_3,520,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_4,595,'38' != '12'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test097_1,663,'1' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test120_1,753,'5' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test121_1,858,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test136_1,948,'6' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_1,1021,'5' != '8'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_2,1078,'7' != '10'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_3,1141,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_4,1198,'7' != '1'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test138_1,1292,'2' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test140_1,1426,'2' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test143_1,1552,'8' != '0'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test144_1,1636,'7' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test149_1,1746,'7' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_1,56,'5' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_2,118,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_3,173,'7' != '36'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test090_1,286,'7' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_1,358,'6' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_2,438,'94' != '56'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_3,520,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_4,595,'38' != '12'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test097_1,663,'1' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test120_1,753,'5' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test121_1,858,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test136_1,948,'6' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_1,1021,'5' != '8'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_2,1078,'7' != '10'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_3,1141,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_4,1198,'7' != '1'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test138_1,1292,'2' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test140_1,1426,'2' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test143_1,1552,'8' != '0'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test144_1,1636,'7' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test149_1,1746,'7' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_1,56,'5' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_2,118,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_3,173,'7' != '36'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test090_1,286,'7' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_1,358,'6' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_2,438,'94' != '56'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_3,520,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_4,595,'38' != '12'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test097_1,663,'1' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test120_1,753,'5' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test121_1,858,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test136_1,948,'6' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_1,1021,'5' != '8'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_2,1078,'7' != '10'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_3,1141,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_4,1198,'7' != '1'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test138_1,1292,'2' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test140_1,1426,'2' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test143_1,1552,'8' != '0'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test144_1,1636,'7' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test149_1,1746,'7' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_1,56,'5' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_2,118,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test086_3,173,'7' != '36'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test090_1,286,'7' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_1,358,'6' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_2,438,'94' != '56'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_3,520,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test091_4,595,'38' != '12'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test097_1,663,'1' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test120_1,753,'5' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test121_1,858,'4' != '6'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test136_1,948,'6' != '5'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_1,1021,'5' != '8'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_2,1078,'7' != '10'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_3,1141,'5' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test137_4,1198,'7' != '1'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test138_1,1292,'2' != '7'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test140_1,1426,'2' != '4'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test143_1,1552,'8' != '0'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test144_1,1636,'7' != '9'
goldolphin-cate,1a04b8191892147d033983a580ba57aef3ded7ff,test149_1,1746,'7' != '5'
swiftech-swifttime,d7ddd29635409d7b9f255f17dbc98f6cb7fa7e62,test118_1,24,'1969-12-31 18:0031' != '1969-12-31 18:0031-01- 01120118120001_01181200:01:-31' expected:<1969-12-31 18:0031[]> but was:<1969-12-31 18:0031[-01- 01120118120001_01181200:01:-31]>
swiftech-swifttime,d7ddd29635409d7b9f255f17dbc98f6cb7fa7e62,test152_1,32,"expected:<...ianCalendar[time=170[2170506105,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=""America/Chicago"",offset=-21600000,dstSavings=3600000,useDaylight=true,transitions=235,lastRule=java.util.SimpleTimeZone[id=America/Chicago,offset=-21600000,dstSavings=3600000,useDaylight=true,startYear=0,startMode=3,startMonth=2,startDay=8,startDayOfWeek=1,startTime=7200000,startTimeMode=0,endMode=3,endMonth=10,endDay=1,endDayOfWeek=1,endTime=7200000,endTimeMode=0]],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2023,MONTH=11,WEEK_OF_YEAR=49,WEEK_OF_MONTH=2,DAY_OF_MONTH=9,DAY_OF_YEAR=343,DAY_OF_WEEK=7,DAY_OF_WEEK_IN_MONTH=2,AM_PM=1,HOUR=7,HOUR_OF_DAY=19,MINUTE=8,SECOND=26,MILLISECOND=105],ZONE_OFFSET=-216000...> but was:<...ianCalendar[time=170[0471593451,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=""America/Chicago"",offset=-21600000,dstSavings=3600000,useDaylight=true,transitions=235,lastRule=java.util.SimpleTimeZone[id=America/Chicago,offset=-21600000,dstSavings=3600000,useDaylight=true,startYear=0,startMode=3,startMonth=2,startDay=8,startDayOfWeek=1,startTime=7200000,startTimeMode=0,endMode=3,endMonth=10,endDay=1,endDayOfWeek=1,endTime=7200000,endTimeMode=0]],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2023,MONTH=10,WEEK_OF_YEAR=47,WEEK_OF_MONTH=4,DAY_OF_MONTH=20,DAY_OF_YEAR=324,DAY_OF_WEEK=2,DAY_OF_WEEK_IN_MONTH=3,AM_PM=0,HOUR=3,HOUR_OF_DAY=3,MINUTE=13,SECOND=13,MILLISECOND=451],ZONE_OFFSET=-216000...>"
swiftech-swifttime,d7ddd29635409d7b9f255f17dbc98f6cb7fa7e62,test196_1,45,'1969-12-31 17:59:59-1969' != '1969-12-31 17:5931-59- 59125917125959_59171259:59:-3112591759-1259:17 1217591759:59_59-19691259:1712_::5912591969-12-31 18:0031-01- 01120118120001_01181200:01:-31-1969' expected:<1969-12-31 17:59[:59]-1969> but was:<1969-12-31 17:59[31-59- 59125917125959_59171259:59:-3112591759-1259:17 1217591759:59_59-19691259:1712_::5912591969-12-31 18:0031-01- 01120118120001_01181200:01:-31]-1969>
swiftech-swifttime,d7ddd29635409d7b9f255f17dbc98f6cb7fa7e62,test226_1,74,'1582-10-04 18:000410001969-12-31 18:0031-01- 01120118120001_01181200:01:-31' != '1582-10-04 18:0004-00- 00100018100000_00181000:00:-0410001800-1000:18 1018001800:00_00-15821000:1810_::0010001969-12-31 18:0031-01- 01120118120001_01181200:01:-31-15820010001969-12-31 18:0031-01- 01120118120001_01181200:01:-31' expected:<1582-10-04 18:0004[]10001969-12-31 18:00...> but was:<1582-10-04 18:0004[-00- 00100018100000_00181000:00:-0410001800-1000:18 1018001800:00_00-15821000:1810_::0010001969-12-31 18:0031-01- 01120118120001_01181200:01:-31-158200]10001969-12-31 18:00...>
swiftech-swifttime,d7ddd29635409d7b9f255f17dbc98f6cb7fa7e62,test118_1,24,'1969-12-31 18:0031' != '1969-12-31 18:0031-01- 01120118120001_01181200:01:-31' expected:<1969-12-31 18:0031[]> but was:<1969-12-31 18:0031[-01- 01120118120001_01181200:01:-31]>
swiftech-swifttime,d7ddd29635409d7b9f255f17dbc98f6cb7fa7e62,test152_1,32,"expected:<...ianCalendar[time=170[2170507615,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=""America/Chicago"",offset=-21600000,dstSavings=3600000,useDaylight=true,transitions=235,lastRule=java.util.SimpleTimeZone[id=America/Chicago,offset=-21600000,dstSavings=3600000,useDaylight=true,startYear=0,startMode=3,startMonth=2,startDay=8,startDayOfWeek=1,startTime=7200000,startTimeMode=0,endMode=3,endMonth=10,endDay=1,endDayOfWeek=1,endTime=7200000,endTimeMode=0]],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2023,MONTH=11,WEEK_OF_YEAR=49,WEEK_OF_MONTH=2,DAY_OF_MONTH=9,DAY_OF_YEAR=343,DAY_OF_WEEK=7,DAY_OF_WEEK_IN_MONTH=2,AM_PM=1,HOUR=7,HOUR_OF_DAY=19,MINUTE=8,SECOND=27,MILLISECOND=615],ZONE_OFFSET=-216000...> but was:<...ianCalendar[time=170[0471593451,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id=""America/Chicago"",offset=-21600000,dstSavings=3600000,useDaylight=true,transitions=235,lastRule=java.util.SimpleTimeZone[id=America/Chicago,offset=-21600000,dstSavings=3600000,useDaylight=true,startYear=0,startMode=3,startMonth=2,startDay=8,startDayOfWeek=1,startTime=7200000,startTimeMode=0,endMode=3,endMonth=10,endDay=1,endDayOfWeek=1,endTime=7200000,endTimeMode=0]],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2023,MONTH=10,WEEK_OF_YEAR=47,WEEK_OF_MONTH=4,DAY_OF_MONTH=20,DAY_OF_YEAR=324,DAY_OF_WEEK=2,DAY_OF_WEEK_IN_MONTH=3,AM_PM=0,HOUR=3,HOUR_OF_DAY=3,MINUTE=13,SECOND=13,MILLISECOND=451],ZONE_OFFSET=-216000...>"
swiftech-swifttime,d7ddd29635409d7b9f255f17dbc98f6cb7fa7e62,test196_1,45,'1969-12-31 17:59:59-1969' != '1969-12-31 17:5931-59- 59125917125959_59171259:59:-3112591759-1259:17 1217591759:59_59-19691259:1712_::5912591969-12-31 18:0031-01- 01120118120001_01181200:01:-31-1969' expected:<1969-12-31 17:59[:59]-1969> but was:<1969-12-31 17:59[31-59- 59125917125959_59171259:59:-3112591759-1259:17 1217591759:59_59-19691259:1712_::5912591969-12-31 18:0031-01- 01120118120001_01181200:01:-31]-1969>
swiftech-swifttime,d7ddd29635409d7b9f255f17dbc98f6cb7fa7e62,test226_1,74,'1582-10-04 18:000410001969-12-31 18:0031-01- 01120118120001_01181200:01:-31' != '1582-10-04 18:0004-00- 00100018100000_00181000:00:-0410001800-1000:18 1018001800:00_00-15821000:1810_::0010001969-12-31 18:0031-01- 01120118120001_01181200:01:-31-15820010001969-12-31 18:0031-01- 01120118120001_01181200:01:-31' expected:<1582-10-04 18:0004[]10001969-12-31 18:00...> but was:<1582-10-04 18:0004[-00- 00100018100000_00181000:00:-0410001800-1000:18 1018001800:00_00-15821000:1810_::0010001969-12-31 18:0031-01- 01120118120001_01181200:01:-31-158200]10001969-12-31 18:00...>
